sim_id,replica,init_id,grupo_ic,lambda_cc,gamma,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
sim__lam_m0p05__gam_0p07__rep_015__20260601_174351_507141,15,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-1.510212756756709,0.27589549308847994,-1.5312185166320706,-0.9281172414755187,1.878165130774684,0.5779719235678871,-1.957157921178083,-0.7604569679165605,-0.4788489265642032,-0.5891387077235638
sim__lam_m0p05__gam_0p07__rep_016__20260601_174406_536141,16,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-6.139652834858796,0.202056164699842,-0.93980740080671,-0.1934012823719696,-1.1697953078122603,0.02715315326277772,-1.239090329162891,0.38488373140110915,-0.5654398121770525,-0.4342127647070734
sim__lam_m0p05__gam_0p07__rep_017__20260601_174424_070118,17,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-0.8596973079094749,0.22137435019751942,3.8416615014754725,-2.090740990214543,-3.0503225501280755,1.1719166341072977,1.0406287760277535,-2.311099877297432,0.6380552795393695,0.9965077586178356
sim__lam_m0p05__gam_0p07__rep_018__20260601_174439_672677,18,hexagonal_2000_1.dat,I_2000,-0.05,0.07,0.9318082952664777,-3.0574520579259477,-0.1804701151056086,2.840402744984778,-0.8472039581539647,3.371895105658384,-0.9332109525819103,-0.4614881647421837,1.0211464714850438,-0.6263893292216166
sim__lam_m0p05__gam_0p07__rep_019__20260601_174455_256265,19,hexagonal_2000_1.dat,I_2000,-0.05,0.07,0.7908869122629386,3.395503104501716,-0.1858020793090307,1.0675391617083894,3.1904977492224345,0.689414956238279,1.3529220865402536,-0.9330186128832588,0.7198041810359699,1.158224040005827
sim__lam_m0p05__gam_0p07__rep_020__20260601_174511_647141,20,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-1.9143803865571694,7.011872288149626,2.506648857643853,-1.3798518092370675,1.3762720473662156,-0.6133857479272105,-0.9237359675304537,-0.3440001606009861,0.8594215480576806,-0.7267166238285184
sim__lam_m0p05__gam_0p07__rep_021__20260601_174528_223513,21,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-1.510212756756709,0.27589549308847994,-1.5312185166320706,-0.9281172414755187,1.878165130774684,0.5779719235678871,-1.957157921178083,-0.7604569679165605,-0.4788489265642032,-0.5891387077235638
sim__lam_m0p05__gam_0p07__rep_022__20260601_174543_826612,22,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-2.051355741949682,3.7171871558306946,3.888835182461456,3.012812984697791,-0.23329409342038832,-1.4177050886277545,0.062263940339054795,0.165760274640882,-1.487854272803255,0.09107091439190881
sim__lam_m0p05__gam_0p07__rep_023__20260601_174602_230339,23,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-5.651712875354359,0.6392796172410314,-3.2950313734870056,-1.6990290353089477,-1.9723745667795425,-0.2402922298983628,-1.2854317057387346,-1.52286562880373,-0.37213241802594976,0.9688962807387125
sim__lam_m0p05__gam_0p07__rep_024__20260601_174617_704334,24,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-3.2546877152694296,-0.8546128180223895,-0.7721441468918316,0.5765056521140829,-1.1836389147991802,-1.252805791286541,-0.2131893557121398,0.5137276195525926,-1.4137410978782303,-0.3143516993963506
sim__lam_m0p05__gam_0p07__rep_025__20260601_174634_362125,25,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-1.510212756756709,0.27589549308847994,-1.5312185166320706,-0.9281172414755187,1.878165130774684,0.5779719235678871,-1.957157921178083,-0.7604569679165605,-0.4788489265642032,-0.5891387077235638
sim__lam_m0p05__gam_0p07__rep_026__20260601_174650_238488,26,hexagonal_2000_1.dat,I_2000,-0.05,0.07,6.041984818430421,3.56418089492951,-3.259878388726743,-2.9762844547395546,0.24659819211026832,0.3421734126770204,1.3782772788266557,0.0845896537091051,-0.48512206718037026,0.6980104062493909
sim__lam_m0p05__gam_0p07__rep_027__20260601_174705_820560,27,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-1.326929094042312,0.47558843765191894,2.6959996350758706,-0.2327662517316878,0.11895514808871874,-1.5356371964112498,0.4627808623136933,-1.037909434363655,0.7691405825266533,0.3577888295583835
sim__lam_m0p05__gam_0p07__rep_028__20260601_174722_324178,28,hexagonal_2000_1.dat,I_2000,-0.05,0.07,1.036420196000831,-1.5878476356513276,-2.20272444359858,1.0126584630658217,0.3567199081790551,1.9128493620877791,-0.6472136175111468,-0.15920964388164538,0.22079852037129372,0.36750898298712636
sim__lam_m0p05__gam_0p07__rep_029__20260601_174738_788316,29,hexagonal_2000_1.dat,I_2000,-0.05,0.07,6.041984818430421,3.56418089492951,-3.259878388726743,-2.9762844547395546,0.24659819211026832,0.3421734126770204,1.3782772788266557,0.0845896537091051,-0.48512206718037026,0.6980104062493909
sim__lam_m0p05__gam_0p07__rep_000__20260601_174754_242064,0,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,2.0610343155310877,-3.1301628774257386,0.06948080453355371,-0.06460881965152258,-0.395000285746062,1.52245066108606,0.3917620913923942,0.1330371456304943,-0.7135319272637276,0.35112562887781223
sim__lam_m0p05__gam_0p07__rep_001__20260601_174809_910337,1,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,1.3843429296692973,-1.9047762860243416,-0.8536755583948537,1.4003845214826336,0.049307607997729756,-0.5741608762854402,0.36004017574714525,1.3010385361663668,-0.5332832703978082,-0.12179569824341738
sim__lam_m0p05__gam_0p07__rep_002__20260601_174825_394733,2,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,0.8386150007188728,-1.6049448135286486,-0.2906692295190936,1.4331516042043926,-0.5236922541085369,-0.5631524257968081,1.4208346489159382,0.7415565610000961,1.0079324576879813,-0.6255186184921606
sim__lam_m0p05__gam_0p07__rep_003__20260601_174840_868167,3,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,0.44707808151221656,0.6531988049422596,1.8560970445925757,1.072167733049913,-1.3589166074949175,0.6010563837574533,-0.47720985888920736,0.5295232857300031,-0.49484393821352823,-0.5937534432896747
sim__lam_m0p05__gam_0p07__rep_004__20260601_174858_630341,4,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,-0.8797509613128771,-1.724760417411666,0.040706144495043936,-0.8479689486483268,-0.23506909149679395,0.3335421249452734,1.303595816635271,0.14148674282689558,0.7312961147530262,-0.16085390904583147
