lambda_cc,gamma,grupo,feature,n,mean,std,cv_abs,ci95_low,ci95_high,std_escalada
0.0,0.05,"lambda=0, gamma=0.05",area_q10,30,0.4561967333333333,0.009909429305858945,0.021721833107950676,0.45265068959762317,0.4597427770690435,0.09111608621345679
0.0,0.05,"lambda=0, gamma=0.05",area_q50,30,0.5977997666666666,0.015328383795707393,0.025641334524398547,0.5923145749709963,0.6032849583623369,0.12935590003861128
0.0,0.05,"lambda=0, gamma=0.05",area_q90,30,1.224597,0.05242135423989759,0.042807024874221965,1.205838259301388,1.2433557406986118,0.2028658531242326
0.0,0.05,"lambda=0, gamma=0.05",area_skew,30,1.007121647981461,0.14285249088449867,0.1418423396724844,0.9560025406346769,1.0582407553282451,0.21697477195004494
0.0,0.05,"lambda=0, gamma=0.05",perimeter_mean,30,3.1820773960329594,0.034451326950989916,0.010826677878401005,3.1697491470136914,3.1944056450522273,0.08920346442271489
0.0,0.05,"lambda=0, gamma=0.05",perimeter_std,30,0.5816136349097049,0.030172122921787132,0.051876574259596464,0.5708166793860783,0.5924105904333314,0.4679349940242761
0.0,0.05,"lambda=0, gamma=0.05",perimeter_cv,30,0.1827248915017783,0.008127806459257586,0.044481112520887635,0.17981639331380755,0.18563338968974907,0.4666657434604209
0.0,0.05,"lambda=0, gamma=0.05",perimeter_q10,30,2.610985644238374,0.02182582823659788,0.008359229505823072,2.6031753719102477,2.6187959165665005,0.0657684598926032
0.0,0.05,"lambda=0, gamma=0.05",perimeter_q50,30,2.927200540080631,0.04044656925591283,0.013817491730443146,2.9127269211552607,2.941674159006001,0.12349319380500544
0.0,0.05,"lambda=0, gamma=0.05",perimeter_q90,30,4.130861436485068,0.08863141580220031,0.02145591595481266,4.099145091669258,4.162577781300878,0.17154883774567448
0.0,0.05,"lambda=0, gamma=0.05",perimeter_skew,30,0.8023080005991379,0.1354886326100056,0.1688735903279377,0.7538240160933315,0.8507919851049442,0.24042527567615893
0.0,0.05,"lambda=0, gamma=0.05",shape_mean,30,3.7998531185178828,0.007073466520198634,0.0018615105109530156,3.7973219110316077,3.802384326004158,0.36457520104642344
0.0,0.05,"lambda=0, gamma=0.05",shape_std,30,0.07879740804849729,0.007984544228036138,0.10133003642863361,0.07594017559156982,0.08165464050542476,0.8006687010750697
0.0,0.05,"lambda=0, gamma=0.05",shape_q10,30,3.7099139794400315,0.0065008782255993325,0.0017522989108713957,3.707587670043498,3.712240288836565,0.47361515068964655
0.0,0.05,"lambda=0, gamma=0.05",shape_q50,30,3.789918056638863,0.009816318976890927,0.0025901137782373728,3.7864053320064612,3.793430781271265,0.4238688338638698
0.0,0.05,"lambda=0, gamma=0.05",shape_q90,30,3.8929879270253114,0.014800680169693069,0.00380188185710673,3.8876915716470095,3.8982842824036132,0.5427826553744709
0.0,0.05,"lambda=0, gamma=0.05",elongation_mean,30,1.304599434954958,0.018413443903092422,0.014114251018151145,1.298010268678066,1.3111886012318499,0.3103616647186061
0.0,0.05,"lambda=0, gamma=0.05",elongation_std,30,0.191749088056123,0.018115105717622343,0.09447296934377199,0.18526668072780972,0.1982314953844363,0.5069026854724795
0.0,0.05,"lambda=0, gamma=0.05",elongation_q10,30,1.094295044019544,0.012705769968670679,0.011610917949513947,1.0897483426289665,1.0988417454101216,0.5898420170682563
0.0,0.05,"lambda=0, gamma=0.05",elongation_q50,30,1.268208323806544,0.015328222235356685,0.012086517607256214,1.2627231899245026,1.2736934576885854,0.27858258663549673
0.0,0.05,"lambda=0, gamma=0.05",elongation_q90,30,1.557455171950891,0.04229190457971101,0.02715449236765868,1.542321208260624,1.5725891356411579,0.3977316834242581
0.0,0.05,"lambda=0, gamma=0.05",neighbors_mean,30,5.996598639455782,0.013620095322934535,0.0022713034741592476,5.991724750939204,6.001472527972361,0.9817262979597255
0.0,0.05,"lambda=0, gamma=0.05",neighbors_std,30,0.8919094790901518,0.06124836085086018,0.06867105046729677,0.86999203464264,0.9138269235376637,0.6471824558912924
0.0,0.05,"lambda=0, gamma=0.05",center_x_std,30,3.3627832707770398,0.04230350600471848,0.012579908545501771,3.3476451555701514,3.377921385983928,0.09943550130464335
0.0,0.05,"lambda=0, gamma=0.05",center_y_std,30,3.3878702859515255,0.06713049250660767,0.019814953596357435,3.363847947723889,3.411892624179162,0.15531206446075702
0.0,0.05,"lambda=0, gamma=0.05",xy_corr,30,0.002442516388119742,0.03299525151674292,13.508712439855024,-0.009364682728781,0.014249715505020483,1.1998455469353024
0.0,0.05,"lambda=0, gamma=0.05",frac_neighbors_4,30,0.01649659863945578,0.010176187536730084,0.6168658011955969,0.012855096696786049,0.020138100582125514,1.0748136193498112
0.0,0.05,"lambda=0, gamma=0.05",frac_neighbors_5,30,0.28078231292517003,0.02582436161452833,0.09197289296997371,0.2715411838040642,0.29002344204627584,0.7018668279131544
0.0,0.05,"lambda=0, gamma=0.05",frac_neighbors_6,30,0.45323129251700683,0.039906361960147664,0.08804855847117007,0.43895098428976137,0.4675116007442523,0.597147992275027
0.0,0.05,"lambda=0, gamma=0.05",frac_neighbors_7,30,0.19727891156462585,0.024717934166638332,0.12529435594813224,0.18843371242086882,0.20612411070838288,0.987961418985105
