sim_id,replica,init_id,grupo,lambda_cc,gamma,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
sim__lam_m0p1__gam_0p08__rep_005__20260531_145635_358942,5,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,-0.4210592857959992,1.8036636262215267,-0.7943057815399777,-0.6816919135771754,1.5225110270297963,0.692112447143237,0.2481758027855292,-0.9248479883510958,0.40369613199315757,-0.2192395556200748
sim__lam_m0p1__gam_0p08__rep_006__20260531_145652_967841,6,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,1.1419664871154163,3.050767034982773,-0.35712059487326675,-1.344427452912992,-0.268663417027407,1.5760310439245842,-0.7041125811841936,0.3842783923524996,-0.2210199237564382,0.4401391610757678
sim__lam_m0p1__gam_0p08__rep_007__20260531_145708_218092,7,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,1.347263379262157,3.4176014930949625,1.1327512395274688,0.7571207855272639,0.8855287718571532,-0.07431609778134954,-0.06254446731491342,-0.491092263128049,0.21958925575692925,-0.3316685057880658
sim__lam_m0p1__gam_0p08__rep_008__20260531_145723_506177,8,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.23114801329972315,1.228340507370756,-1.577649599017591,0.0683486891133835,0.06369338034499877,0.7150074633263563,-1.097496075295897,0.49485518644491494,-0.14087917927626298,0.2670730044267043
sim__lam_m0p1__gam_0p08__rep_009__20260531_145740_346805,9,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,-0.03545070715058335,1.1476708166094234,0.41869402511530407,-0.5584880033348804,-0.3717420892236922,-0.04980067468590989,0.013422589728196087,-0.06758733950692687,-0.6644521920831542,0.17362582804511073
sim__lam_m0p1__gam_0p08__rep_010__20260531_145756_330985,10,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,1.2018394697832673,2.8470735801243943,-0.2136439436816015,1.0818971557216426,0.43019246437378283,1.3633156342386532,-0.022622253051638085,0.7807430961172934,-0.1388843033657992,0.5037813819321791
sim__lam_m0p1__gam_0p08__rep_011__20260531_145813_552674,11,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.1227974613497201,1.585175939267064,-0.4803383283742605,0.6170488068304647,-1.4973967611883703,0.44631407981430354,-0.12205960420851594,-0.0588751995638288,0.17826246693738687,0.3982809950010307
sim__lam_m0p1__gam_0p08__rep_012__20260531_145830_437805,12,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,1.0271099198226328,1.6497478750710612,1.9395120579498282,0.6751056002439445,-0.406518260095242,0.7261896327433636,-0.17227485830490902,1.038447595602274,0.554113117917153,-0.04874634150495569
sim__lam_m0p1__gam_0p08__rep_013__20260531_145845_979518,13,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,-0.3553616488292745,1.7288229748610546,-1.582667267479947,0.5919944465362947,-0.6399717225572168,0.39770750649893155,1.8489396440957577,-0.6760067650881609,-0.3384521107730847,0.4636506857277062
sim__lam_m0p1__gam_0p08__rep_014__20260531_145902_520234,14,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,-0.7022314747016818,0.40423896476041893,2.4776633847498717,-0.9010953041512686,-0.23565120486307534,0.4031231355288945,1.060587701902253,-1.1477870402198946,0.104262698950351,0.8250695409724482
sim__lam_m0p1__gam_0p08__rep_015__20260531_145918_257153,15,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.31889855106137505,2.0108029339444102,-0.18279279365978982,1.4043260402685336,-1.10087407973934,0.0613763944449184,-0.02169665384871906,-0.24698935548307088,0.26791440350254886,0.18213243119545344
sim__lam_m0p1__gam_0p08__rep_016__20260531_145934_826630,16,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.1433935850442131,3.3445889860361135,-0.6342222123984811,1.716087213216956,2.4215436462052664,-1.167939863868873,0.5752614701262079,-0.7967089550010767,-0.6785584343118739,-0.35003757373440475
sim__lam_m0p1__gam_0p08__rep_017__20260531_145952_627936,17,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.9598129120812577,2.3833317612121245,3.109027463265369,0.6296026405888778,0.4088740593118815,-0.23494255648606266,-0.34856731611930697,-0.42262963751728194,0.08729819774312772,0.34383811080990323
sim__lam_m0p1__gam_0p08__rep_018__20260531_150008_299897,18,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.019689264857624525,2.6532372830011623,-2.0845290613148775,1.6252142102436562,0.49185672954733844,0.4688533779611272,0.3032908220797738,-0.036940094164186296,0.6061713211538937,0.3546206848194894
sim__lam_m0p1__gam_0p08__rep_019__20260531_150024_126624,19,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,-0.46157873519286496,1.9219882920825624,0.36142075783426425,1.567204231013664,-0.9346411308396472,1.2158571429167744,-0.8536229273578871,0.21908258640152017,-0.5325373778994389,0.2222143198374057
sim__lam_m0p1__gam_0p08__rep_020__20260531_150041_337390,20,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,1.4257011803417603,0.9918779498453157,0.7036347091945346,-0.8977527201325438,-0.4256722814309628,0.7121916538735565,0.17879169367126593,0.9462323483944071,1.5985018509165256,-0.04554686816066112
sim__lam_m0p1__gam_0p08__rep_021__20260531_150056_746101,21,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.18787534188279442,2.2338141250402277,0.13025727218048366,0.8870468845370405,0.14869256467877665,0.014460287704033653,-0.2665868726137168,-0.1988277527766832,-0.8636263105751466,1.0176464730686958
sim__lam_m0p1__gam_0p08__rep_022__20260531_150114_882100,22,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.8846916716334283,2.34642751270011,-0.27130714241742676,-0.17326582683283998,-0.6076847099268481,-0.22083494876048404,0.15479031101038732,-0.1800830651698673,1.0788813834912465,-0.24271430593570437
sim__lam_m0p1__gam_0p08__rep_023__20260531_150130_205229,23,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.8846916716334283,2.34642751270011,-0.27130714241742676,-0.17326582683283998,-0.6076847099268481,-0.22083494876048404,0.15479031101038732,-0.1800830651698673,1.0788813834912465,-0.24271430593570437
sim__lam_m0p1__gam_0p08__rep_024__20260531_150147_240732,24,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.8044003274583347,2.482382727100362,-0.5465707889315273,1.6574974314365718,0.4264004641339878,0.295390688244154,-0.3243136637644114,1.1149060027809672,0.8931881521253237,0.3409451467763754
sim__lam_m0p1__gam_0p08__rep_025__20260531_150203_472309,25,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,-0.7022314747016818,0.40423896476041893,2.4776633847498717,-0.9010953041512686,-0.23565120486307534,0.4031231355288945,1.060587701902253,-1.1477870402198946,0.104262698950351,0.8250695409724482
sim__lam_m0p1__gam_0p08__rep_026__20260531_150222_649215,26,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.5469612662409026,2.15645713036569,-1.9175943519604113,0.005801035003073134,-0.07015920471413006,1.4775784437461856,-1.1426663016815288,0.7114084264615448,-0.5171172969764132,0.5658096582494117
sim__lam_m0p1__gam_0p08__rep_027__20260531_150239_023388,27,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.033708517787460875,2.44414149810412,1.3132764263526966,1.3714269758544195,-2.4624104190521017,0.41903193479405115,-0.06586124148562383,0.05423681371009259,-0.25539806362427653,-0.06942171278932423
sim__lam_m0p1__gam_0p08__rep_028__20260531_150254_720777,28,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.6626929416086083,2.394546048758882,-1.159657705202017,-1.6373434388891859,-0.4776417453835938,1.061309002887643,-2.3505407284470348,0.4259177840719862,-0.9060338885696992,0.12413255096853923
sim__lam_m0p1__gam_0p08__rep_029__20260531_150312_314455,29,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.8846916716334283,2.34642751270011,-0.27130714241742676,-0.17326582683283998,-0.6076847099268481,-0.22083494876048404,0.15479031101038732,-0.1800830651698673,1.0788813834912465,-0.24271430593570437
sim__lam_0__gam_0p05__rep_000__20260531_150327_974608,0,hexagonal_2000_1.dat,"lambda=0, gamma=0.05",0.0,0.05,1.238168930154695,-1.1031354660633554,-2.1654466719542667,0.3049067201907001,-2.6223209073257157,-0.616876344918507,0.5550838796558001,-0.23222668387823223,-0.4173668425318043,-0.8901399430495741
sim__lam_0__gam_0p05__rep_001__20260531_150347_013880,1,hexagonal_2000_1.dat,"lambda=0, gamma=0.05",0.0,0.05,4.878264232010049,1.1325147808432117,-1.156961408181492,-0.39161601976920946,-1.0458801627864045,-2.0047586388864977,1.4898985450133502,1.0165341872182072,1.8634098800921164,0.058631798648631675
sim__lam_0__gam_0p05__rep_002__20260531_150403_435838,2,hexagonal_2000_1.dat,"lambda=0, gamma=0.05",0.0,0.05,2.612703046807372,0.3921663325554421,-0.29849938054123065,-2.24369207559401,-0.057530396961010234,0.9095898313767833,-0.14019178996597534,-0.7574543550548206,0.09042704869560939,-0.39511462936148645
sim__lam_0__gam_0p05__rep_003__20260531_150421_569216,3,hexagonal_2000_1.dat,"lambda=0, gamma=0.05",0.0,0.05,2.669157930894208,0.43594104365843284,1.4469519837239484,0.7482673472155693,0.867997147234459,-1.5176095037907331,1.2000627180234011,0.8057552237009372,-0.4833223626446447,0.2772535082014908
sim__lam_0__gam_0p05__rep_004__20260531_150439_052992,4,hexagonal_2000_1.dat,"lambda=0, gamma=0.05",0.0,0.05,2.5775179760283273,-0.33316636704214314,-0.45854274511546284,-0.10040929357735563,-0.01695771744057306,-1.2652532405366064,0.527016918134126,0.4395783616546466,-0.07985706155237522,0.361165983598154
sim__lam_0__gam_0p05__rep_005__20260531_150455_603966,5,hexagonal_2000_1.dat,"lambda=0, gamma=0.05",0.0,0.05,4.256528464844897,1.5009784617764377,-0.21412650021920013,-1.886836051782492,1.628484922893576,-0.7051059887794431,0.0657565558751271,0.7579731722877646,-1.0595476367307355,0.27970659502154627
sim__lam_0__gam_0p05__rep_006__20260531_150512_516388,6,hexagonal_2000_1.dat,"lambda=0, gamma=0.05",0.0,0.05,2.4096210767591955,2.204780146763331,-0.8131535333745813,1.3849228762903458,0.540635296988116,-0.6472317243386091,0.024174597996748384,-0.40770015293393636,-0.2757297003894459,-0.651079267656356
sim__lam_0__gam_0p05__rep_007__20260531_150531_212307,7,hexagonal_2000_1.dat,"lambda=0, gamma=0.05",0.0,0.05,2.0661419243897603,-0.9583376647439885,1.6430386873279554,-1.0362673550415822,-0.34149769083410897,1.2927429637611836,0.16892110393130438,-0.3851739734205355,0.20475881857577072,0.39923266730010265
sim__lam_0__gam_0p05__rep_008__20260531_150547_639695,8,hexagonal_2000_1.dat,"lambda=0, gamma=0.05",0.0,0.05,2.074674774711954,-0.30414213006865043,0.5553299831695724,0.6063404433215324,0.9338312208815129,0.13575071684332402,1.6565150264317494,0.2529716124619416,0.46158465450466185,-0.05162318532556549
sim__lam_0__gam_0p05__rep_009__20260531_150605_779532,9,hexagonal_2000_1.dat,"lambda=0, gamma=0.05",0.0,0.05,4.616173014028095,2.526680362130469,1.684966114006942,-1.2320446047800313,0.4172893422791043,-0.8975665578522161,-0.8597421566570649,0.8815927860199371,-0.4930903016604856,0.29220611772469124
sim__lam_0__gam_0p05__rep_010__20260531_150622_063881,10,hexagonal_2000_1.dat,"lambda=0, gamma=0.05",0.0,0.05,2.07819237909413,-0.4694684943663535,1.4990778134475902,-1.3176771731961536,-1.8039335764193558,0.38263855403533575,0.7765540379875205,-0.1441063038205696,-0.1165156802967601,-0.250377424229885
sim__lam_0__gam_0p05__rep_011__20260531_150639_977995,11,hexagonal_2000_1.dat,"lambda=0, gamma=0.05",0.0,0.05,4.369665343656292,0.6598043652689624,-0.7296452691243106,-1.7266012169543306,2.199128250200897,-1.0923316974599566,0.12972113029359203,0.7517259967642442,0.8150800067416575,-0.05282462943065411
